opportunity_id,company_id,title,entry_route,level,role_family,description,typical_quals,useful_projects,application_tips,source
VOP01062,VAC50C83ECE,Apprentice Chef,apprenticeship,Intermediate Level 2 (GCSE),customer_success,"As a Chef apprentice, your passion for all things food and the desire to make the perfect dish every time is what sets you apart. With a keen eye for maintaining the highest standards and thriving during a fast past service, you'll soon become an invaluable member of the kitchen team.   Join us at Farmhouse Inns, where we're big on quality as we are with our portions, which is why our carveries...","Team Working,Organisation Skills",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP01063,VACE0348731,Bar and Waiting Apprentice,apprenticeship,nan,admin,"Bar and waiting apprentice   As a bar and waiting apprentice, you will be key to creating unforgettable moments for customers, whether you're putting a smile on customers' faces or recommending meals off the menu. You'll be joining a fun and inclusive team, where you can grow and strengthen your skills and experience.   Join us at Greene King pubs, where we have always been the beacon for commu...","Team Working,Organisation Skills",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP01064,VACE0348731,Apprentice Chef,apprenticeship,Intermediate Level 2 (GCSE),customer_success,"As an Apprentice Chef you don't need to have tons of experience in a kitchen, though it can help. We'll teach you everything you need... All you need is a willingness to learn, a genuine love for all things food and the passion to create amazing dishes.   It's our people that make our pubs special and we think the best hospitality comes from people who can be themselves and show customers their...","Team Working,Organisation Skills",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP01065,VACE0348731,Apprentice Chef,apprenticeship,Intermediate Level 2 (GCSE),customer_success,"As an Apprentice Chef you don't need to have tons of experience in a kitchen, though it can help. We'll teach you everything you need... All you need is a willingness to learn, a genuine love for all things food and the passion to create amazing dishes.   It's our people that make our pubs special and we think the best hospitality comes from people who can be themselves and show customers their...","Team Working,Organisation Skills",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP01066,VAC703D36EB,Apprentice Chef,apprenticeship,Intermediate Level 2 (GCSE),customer_success,"Join us at Greene King pubs, where we have always been the beacon for communities, wherever people want to come together. Our collection of community pubs are the heart and soul of the local area around them, helmed by a local hero and crewed by a team always ready with your favourite tipple. Our pubs embody the true meaning of a local pub, acting as a central hub where locals can enjoy one of ...","Team Working,Organisation Skills",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP01067,VAC703D36EB,Apprentice Chef,apprenticeship,Intermediate Level 2 (GCSE),customer_success,"Join us at Greene King pubs, where we have always been the beacon for communities, wherever people want to come together. Our collection of community pubs are the heart and soul of the local area around them, helmed by a local hero and crewed by a team always ready with your favourite tipple. Our pubs embody the true meaning of a local pub, acting as a central hub where locals can enjoy one of ...","Team Working,Organisation Skills",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP01068,VAC703D36EB,Apprentice Chef,apprenticeship,Intermediate Level 2 (GCSE),customer_success,"Join us at Greene King pubs, where we have always been the beacon for communities, wherever people want to come together. Our collection of community pubs are the heart and soul of the local area around them, helmed by a local hero and crewed by a team always ready with your favourite tipple. Our pubs embody the true meaning of a local pub, acting as a central hub where locals can enjoy one of ...","Team Working,Organisation Skills",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP01069,VAC66E4C884,Apprentice Food and Beverage Assistant,apprenticeship,Intermediate Level 2 (GCSE),customer_success,Role Purpose:   To sell and serve the full range of Company food and drinks to Company standards whilst maintaining a high level of customer care and promoting a friendly atmosphere at all times.   Key Duties:   - To maintain a high level of customer care at all times.   - To sell and serve all food and drinks to Company standards.   - To follow Company procedures in respect of cash handling as...,"Team Working,Organisation Skills",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP01070,VACDC36D382,Apprentice Health Care Assistant (Nights)- Avery - Avon Valley Care Home - Bristol,apprenticeship,Intermediate Level 2 (GCSE),care,Qube Learning are working in partnership with The Princes Trust on a new Health Care Sector project for 16-30 year olds. This project is designed to help young people into any role within the sector.   This specific position has been recognised as a opportunity that fits in with the locations and roles we currently working with. If you are aged 16-30 years old and apply for this fantastic oppor...,"Attention to detail,Caring,Communication skills,Initiative",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP01071,VACDC36D382,Apprentice Health Care Assistant - Avery - Avon Valley Care Home - Bristol,apprenticeship,Intermediate Level 2 (GCSE),care,Qube Learning are working in partnership with The Princes Trust on a new Health Care Sector project for 16-30 year olds (age restriction is due to the Prince's Trust funding mandate). This project is designed to help young people into any role within the sector. This specific position has been recognised as a opportunity that fits in with the locations and roles we currently working with. If yo...,"Caring,Communication skills,Friendly,Initiative",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP01072,VAC12A46AB3,Apprentice Health Care Assistant (Nights)- Avery Avonmere - Downend,apprenticeship,Intermediate Level 2 (GCSE),care,Qube Learning are working in partnership with The Princes Trust on a new Health Care Sector project for 16-30-year olds. This project is designed to help people into any role within the sector. This specific position has been recognised as a opportunity that fits in with the locations and roles we currently working with.   If you are aged 16-30 years old and apply for this fantastic opportunity...,"Caring,Communication skills,Friendly,Initiative",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP01073,VAC12A46AB3,Apprentice Health Care Assistant (Days)- Avery Avonmere - Downend,apprenticeship,Intermediate Level 2 (GCSE),care,"Qube Learning are working with Avery Healthcare to help find an Apprentice Healthcare Assistant. The successful candidate will complete an Adult Care Worker Level 2 qualification (dependant on experience), lasting 15 months. During your apprenticeship you will have a dedicated Skills Tutor, who will make regular appointments virtually or face to face, to support you throughout your qualificatio...","Caring,Communication skills,Friendly,Initiative",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP01074,VACC8F5351B,Chef Apprenticeship,apprenticeship,Intermediate Level 2 (GCSE),customer_success,"As an apprentice Chef at Miller & Carter, we will help you master our menu, with your food being the reason guests keep coming through our doors! You'll thrive off the hustle and bustle of a fast-paced kitchen, with the support of a close-knit team, because it's the people that make it all worthwhile.   Responsibilities:   - Be a champion of brand standards   - Keep your kitchen clean   - Prepa...","Team Working,Organisation Skills",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP01075,VACC8F5351B,Chef Apprenticeship,apprenticeship,Intermediate Level 2 (GCSE),customer_success,"As an apprentice Chef at Miller & Carter, we will help you master our menu, with your food being the reason guests keep coming through our doors! You'll thrive off the hustle and bustle of a fast-paced kitchen, with the support of a close-knit team, because it's the people that make it all worthwhile.   Responsibilities:      Be a champion of brand standards.  Keep your kitchen clean.  Prepare ...","Team Working,Organisation Skills",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP01076,VACC8F5351B,Chef Apprenticeship,apprenticeship,Intermediate Level 2 (GCSE),customer_success,"As an apprentice Chef at Miller & Carter, we will help you master our menu, with your food being the reason guests keep coming through our doors! You'll thrive off the hustle and bustle of a fast-paced kitchen, with the support of a close-knit team, because it's the people that make it all worthwhile.   Responsibilities:   - Be a champion of brand standards   - Keep your kitchen clean   - Prepa...","Team Working,Organisation Skills",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP01077,VACE8089D1E,Bar and Waiting Apprenticeship,apprenticeship,nan,admin,"As Bar and Waiting Staff at Premium Country Pubs, you are the personality behind the beer pumps, the expert on the drinks' menu and know our food menu inside out, frequently recommending your favourites. As the friendly face our guests remember, you'll inject your personality every moment you're with our guests so that they love to come back time and time again.   Responsibilities:     Greet, s...","Team Working,Organisation Skills",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP01078,VACE8089D1E,Chef Apprenticeship,apprenticeship,Intermediate Level 2 (GCSE),customer_success,"As an apprentice Chef at Premium Country Pubs, we will help you master our menu, with your food being the reason guests keep coming through our doors! You'll thrive off the hustle and bustle of a fast-paced kitchen, with the support of a close-knit team, because it's the people that make it all worthwhile.   Responsibilities :   -Be a champion of brand standards   -Keep your kitchen clean   -Pr...","Team Working,Organisation Skills",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP01079,VACE8089D1E,Chef Apprenticeship,apprenticeship,Intermediate Level 2 (GCSE),customer_success,"As an apprentice Chef at Premium Country Pubs, we will help you master our menu, with your food being the reason guests keep coming through our doors! You'll thrive off the hustle and bustle of a fast-paced kitchen, with the support of a close-knit team, because it's the people that make it all worthwhile.   Responsibilities:     Be a champion of brand standards.  Keep your kitchen clean.  Prep...","Team Working,Organisation Skills",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP01080,VAC4CD7819A,Shift Supervisor Apprentice,apprenticeship,Advanced Level 3 (A level),customer_success,"Previous experience in hospitality is required.   As a Supervisor at Castle you are the personality behind the beer pumps, the expert on the drink's menu and know our food menu inside out, frequently recommending your favourites. You will help to lead our team to customer service perfection and as the friendly face our guests remember, you'll inject your personality every moment you're with our...","Team Working,Organisation Skills",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP01081,VAC4CD7819A,Shift Supervisor Apprentice,apprenticeship,Advanced Level 3 (A level),customer_success,"Previous experience in hospitality is required   As a supervisor at Castle you are the personality behind the beer pumps, the expert on the drink's menu and know our food menu inside out, frequently recommending your favourites. You will help to lead our team to customer service perfection and as the friendly face our guests remember, you'll inject your personality every moment you're with our ...","Team Working,Organisation Skills",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP01082,VAC4CD7819A,Bar and Waiting Apprenticeship,apprenticeship,Intermediate Level 2 (GCSE),customer_success,"As Bar and Waiting Staff at Ember Inns you are the personality behind the beer pumps, the expert on the drink's menu and know our food menu inside out, frequently recommending your favourites. As the friendly face our guests remember, you'll inject your personality every moment you're with our guests so that they love to come back time and time again.   Responsibilities:   -Greet, serve and loo...","Team Working,Organisation Skills",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP01083,VAC5F64229F,Bar and Waiting Apprenticeship,apprenticeship,Intermediate Level 2 (GCSE),customer_success,"As Bar and Waiting Staff at Ember Inns you are the personality behind the beer pumps, the expert on the drink's menu and know our food menu inside out, frequently recommending your favourites. As the friendly face our guests remember, you'll inject your personality every moment you're with our guests so that they love to come back time and time again.   Responsibilities   Greet, serve and look ...","Team Working,Organisation Skills",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP01084,VAC5F64229F,Chef Apprenticeship,apprenticeship,Intermediate Level 2 (GCSE),customer_success,"As an apprentice Chef at Ember Inns, we will help you master our menu, with your food being the reason guests keep coming through our doors! You'll thrive off the hustle and bustle of a fast-paced kitchen, with the support of a close-knit team, because it's the people that make it all worthwhile.   Responsibilities:     Be a champion of brand standards.  Keep your kitchen clean.  Prepare everyt...","Team Working,Organisation Skills",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP01085,VAC60404007,Civil Engineering Technician Apprenticeship Level 3,apprenticeship,Advanced Level 3 (A level),technician,"Initially the successful candidate will train and become competent in drawing and modelling the civil engineering designs using a variety of software packages, whilst completing the college course one day a week. The role will be office-based in Stonehouse, Gloucestershire, working with a team of engineers and CAD technicians with the opportunity to do occasional site visits to support our clie...","Communication skills,Attention to detail,Organisation skills,Customer care skills,Problem solving skills,Administrative skills,Number skills,Logical,Team working,Creative,Initiative,Perseverance and D",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP01086,VAC60404007,Civil Engineering Technician Apprenticeship Level 3,apprenticeship,Advanced Level 3 (A level),technician,"Initially the successful candidate will train and become competent in drawing and modelling the civil engineering designs using a variety of software packages, whilst completing the college course one day a week. The role will be office-based in Stonehouse, Gloucestershire, working with a team of engineers and CAD technicians with the opportunity to do occasional site visits to support our clie...","Communication skills,Attention to detail,Organisation skills,Customer care skills,Problem solving skills,Administrative skills,Number skills,Logical,Team working,Creative,Initiative,Perseverance and D",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP01087,VAC60404007,Civil Engineering Technician Apprenticeship Level 3,apprenticeship,Advanced Level 3 (A level),technician,"Initially the successful candidate will train and become competent in drawing and modelling the civil engineering designs using a variety of software packages, whilst completing the college course one day a week. The role will be office-based in Stonehouse, Gloucestershire, working with a team of engineers and CAD technicians with the opportunity to do occasional site visits to support our clie...","Communication skills,Attention to detail,Organisation skills,Customer care skills,Problem solving skills,Administrative skills,Number skills,Logical,Team working,Creative,Initiative,Perseverance and D",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP01088,VAC2E26B563,Sports Centre Leisure Assistant Apprenticeship,apprenticeship,Intermediate Level 2 (GCSE),teaching_support,"? Interact with the public responsibly (whether, Sports Centre Members, pupils or staff) promoting a positive image of the facility and Clifton College swimming pool, by the provision of high-quality customer service.   ? Comply with the Pool Safety Operating Procedure (PSOP) at all times.   ? Maintain a vigilant watch of the swimming pool areas in accordance with the PSOP and take necessary ac...","Team Working,Organisation Skills",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP01089,VAC2E26B563,Sports Centre Leisure Assistant Apprenticeship,apprenticeship,Intermediate Level 2 (GCSE),teaching_support,"Interact with the public responsibly (whether, Sports Centre Members, pupils or staff) promoting a positive image of the facility and Clifton College swimming pool, by the provision of high-quality customer service..  Comply with the Pool Safety Operating Procedure (PSOP) at all times..  Maintain a vigilant watch of the swimming pool areas in accordance with the PSOP and take necessary action t...","Team Working,Organisation Skills",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP01090,VAC8CECE5E0,Adult Care Worker Apprentice,apprenticeship,Intermediate Level 2 (GCSE),care,"To assist residents who need help with getting up in the morning, dressing, undressing, washing bathing and the toilet..  To help resident with mobility problems and other physical disabilities, including incontinence. Help in use and care of aids and personal equipment such as hearing aids..  To care for resident who are temporarily sick and needing, for example, minor dressings, bed nursing, ...","Communication skills,Organisation skills,Customer care skills,Problem solving skills,Team working,Non judgemental,Patience,Self-motivated,Organised,Flexible,Caring,Sensitive to needs of others",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP01091,VAC1B9F597D,Apprentice Team Leader,apprenticeship,Advanced Level 3 (A level),customer_success,"As a Team leader apprentice, you&rsquo;ll lead by example making sure the team have everything they need so the shift runs like clockwork! You&rsquo;ll make sure the team maintain high standards and that our customers are kept happy.   As a Team leader apprentice, you will&hellip;     Provide customers with a heartfelt and memorable experience each and every time they visit .  Deputise the mana...","Communication skills,Attention to detail,Customer care skills,Team working",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP01092,VAC1B9F597D,Kitchen Team Leader Apprentice,apprenticeship,Advanced Level 3 (A level),customer_success,"Join us at Greene King pubs, where we have always been the beacon for communities, wherever people want to come together. Our collection of community pubs are the heart and soul of the local area around them, helmed by a local hero and crewed by a team always ready with your favourite tipple. Our pubs embody the true meaning of a local pub, acting as a central hub where locals can enjoy one of ...","Communication skills,Attention to detail,Customer care skills,Team working",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP01093,VAC1B9F597D,Apprentice Chef,apprenticeship,Intermediate Level 2 (GCSE),customer_success,"Join us at Farmhouse Inns, where we&rsquo;re big on quality as we are with our portions, which is why our carveries slow-roast our meats for 14-hours, freshly prepare our veg, create fluffy, handmade Yorkies, ruffle-up our perfectly crispy roast potatoes, and bake and hand-decorate our giant cakes in our kitchen every day.   As a Chef apprentice, your passion for all things food and the desire ...","Communication skills,Attention to detail,Customer care skills,Team working",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP01094,VACDB7752DD,Chef Apprenticeship,apprenticeship,Intermediate Level 2 (GCSE),customer_success,"We&rsquo;re on the lookout for a Production Chef to join our team!   Prep, create and bring our pub menu to life. Got a passion for food? You&rsquo;ll fit right in. From learning new prepping skills, bringing a meal to life for the first time, to owning a section of the kitchen.   As a Production Chef: There&rsquo;s plenty to get involved with whilst growing your career and developing skills th...","Communication skills,Attention to detail,Customer care skills,Team working",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP01095,VACDB7752DD,Apprentice Chef - The Landing Light - Weston Super Mare,apprenticeship,Intermediate Level 2 (GCSE),customer_success,"We are looking for a motivated, passionate individual to join our team as an Apprentice Chef.   You will be responsible for assisting in the preparation, cooking and presentation of food with the aim to delivering an excellent customer experience. You would also be required to undertake all reasonable duties as assigned by the head chef.     Ensuring all menu items and specials are prepared, co...","Team Working,Organisation Skills",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP01096,VACDB7752DD,Apprentice Chef,apprenticeship,Intermediate Level 2 (GCSE),customer_success,"We are looking for a motivated, passionate individual to join our team as an Apprentice Chef   You will be responsible for assisting in the preparation, cooking and presentation of food with the aim to delivering an excellent customer experience. You would also be required to undertake all reasonable duties as assigned by the Head Chef.     Ensuring all menu items and specials are prepared, coo...","Team Working,Organisation Skills",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP01097,VAC0523A87E,Apprentice Chef,apprenticeship,Intermediate Level 2 (GCSE),customer_success,"As a Chef apprentice, your passion for all things food and the desire to make the perfect dish every time is what sets you apart. With a keen eye for maintaining the highest standards and thriving during a fast past service, you'll soon become an invaluable member of the kitchen team.   Join us at Greene King pubs, where we have always been the beacon for communities, wherever people want to co...","Team Working,Organisation Skills",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP01098,VAC0523A87E,Apprentice Chef,apprenticeship,Intermediate Level 2 (GCSE),customer_success,"As an Apprentice Chef you don't need to have tons of experience in a kitchen, though it can help. We'll teach you everything you need... All you need is a willingness to learn, a genuine love for all things food and the passion to create amazing dishes.   It's our people that make our pubs special and we think the best hospitality comes from people who can be themselves and show customers their...","Team Working,Organisation Skills",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP01099,VACA8BBA7D5,Chef Apprenticeship,apprenticeship,Intermediate Level 2 (GCSE),customer_success,"As an apprentice Chef at Vintage Inns, we will help you master our menu, with your food being the reason guests keep coming through our doors! You'll thrive off the hustle and bustle of a fast-paced kitchen, with the support of a close-knit team, because it's the people that make it all worthwhile.   Responsibilities:   - Be a champion of brand standards   - Keep your kitchen clean   - Prepare ...","Team Working,Organisation Skills",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP01100,VACA8BBA7D5,Chef Apprenticeship,apprenticeship,Intermediate Level 2 (GCSE),customer_success,"As an apprentice Chef at Vintage Inns, we will help you master our menu, with your food being the reason guests keep coming through our doors! You'll thrive off the hustle and bustle of a fast-paced kitchen, with the support of a close-knit team, because it's the people that make it all worthwhile.   Responsibilities:   - Be a champion of brand standards   - Keep your kitchen clean   - Prepare ...","Team Working,Organisation Skills",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP01101,VACA8BBA7D5,Bar and Waiting Apprenticeship,apprenticeship,Intermediate Level 2 (GCSE),customer_success,"As Bar and Waiting Staff at Vintage Inns you are the personality behind the beer pumps, the expert on the drink's menu and know our food menu inside out, frequently recommending your favourites. As the friendly face our guests remember, you'll inject your personality every moment you're with our guests so that they love to come back time and time again.   Responsibilities:   -Greet, serve and l...","Team Working,Organisation Skills",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP01102,VAC4698971D,Group Facilities and Health and Safety Co-ordinator Apprentice,apprenticeship,Advanced Level 3 (A level),admin,"Daily tasks will include:     The use of our internal health and safety e-learning software.  Create new starters to the business.  Allocate training and running of reports.  Filing and removing starters/leavers from system.  Fire safety inspections.  Updating fire lists.  First aid box inspections.  Updating the online H&S system we use &ndash; adding/removing employees, allocating e-learning,...","Communication skills,IT skills,Attention to detail,Administrative skills,Team working,Initiative",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP01103,VAC4698971D,Group Facilities and Health and Safety Co-ordinator Apprentice,apprenticeship,Advanced Level 3 (A level),admin,"Daily tasks will include:     The use of our internal health and safety e-learning software.  Create new starters to the business.  Allocate training and running of reports.  Filing and removing starters/leavers from system.  Fire safety inspections.  Updating fire lists.  First aid box inspections.  Updating the online H&S system we use &ndash; adding/removing employees, allocating e-learning,...","Communication skills,IT skills,Attention to detail,Administrative skills,Team working,Initiative",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP01104,VAC4698971D,Group Facilities and Health and Safety Co-ordinator Apprentice,apprenticeship,Advanced Level 3 (A level),admin,"Daily tasks will include:     The use of our internal health and safety e-learning software.  Create new starters to the business.  Allocate training and running of reports.  Filing and removing starters/leavers from system.  Fire safety inspections.  Updating fire lists.  First aid box inspections.  Updating the online H&S system we use &ndash; adding/removing employees, allocating e-learning,...","Communication skills,IT skills,Attention to detail,Administrative skills,Team working,Initiative",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP01105,VAC66B206FA,Apprentice Sales Advisor - Bristol Cabot Circus,apprenticeship,Intermediate Level 2 (GCSE),customer_success,"Retail is a fantastic path to start your career within the service or fashion industry. We need you to be a fun-loving, chatty sort who values customer service as much as we do. It wouldn't work otherwise, would it?   We love people who strive to be the best they can be and who take pride in what they do. Whether it's making sure your section of the shop looks the BEST, unpacking the delivery q...","Team Working,Organisation Skills",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP01106,VAC66B206FA,Apprentice Sales Advisor - Kidz - Bristol Cribbs Causeway,apprenticeship,Intermediate Level 2 (GCSE),customer_success,"Retail is a fantastic path to start your career within the service or fashion industry. We need you to be a fun-loving, chatty sort who values customer service as much as we do. It wouldn't work otherwise, would it?   We love people who strive to be the best they can be and who take pride in what they do. Whether it's making sure your section of the shop looks the BEST, unpacking the delivery q...","Team Working,Organisation Skills",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP01107,VAC3CF91489,Chef Apprenticeship,apprenticeship,Intermediate Level 2 (GCSE),customer_success,"As an apprentice Chef at Harvester, we will help you master our menu, with your food being the reason guests keep coming through our doors! You'll thrive off the hustle and bustle of a fast-paced kitchen, with the support of a close-knit team, because it's the people that make it all worthwhile.   Responsibilities:     Be a champion of brand standards..  Keep your kitchen clean..  Prepare every...","Team Working,Organisation Skills",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP01108,VAC3CF91489,"Chef Apprenticeship (Harvester, Bristol)",apprenticeship,Intermediate Level 2 (GCSE),customer_success,"As an apprentice Chef at Harvester, we will help you master our menu, with your food being the reason guests keep coming through our doors! You'll thrive off the hustle and bustle of a fast-paced kitchen, with the support of a close-knit team, because it's the people that make it all worthwhile.   Responsibilities:      Be a champion of brand standards.  Keep your kitchen clean.  Prepare everyt...","Team Working,Organisation Skills",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP01109,VAC3CF91489,"Chef Apprenticeship (Harvester, Bristol)",apprenticeship,Intermediate Level 2 (GCSE),customer_success,"As an apprentice Chef at Harvester, we will help you master our menu, with your food being the reason guests keep coming through our doors! You'll thrive off the hustle and bustle of a fast-paced kitchen, with the support of a close-knit team, because it's the people that make it all worthwhile.   Responsibilities:   - Be a champion of brand standards   - Keep your kitchen clean   - Prepare eve...","Team Working,Organisation Skills",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP01110,VACF166D601,Bar and Waiting Apprentice,apprenticeship,Intermediate Level 2 (GCSE),customer_success,"As a bar and waiting apprentice, you will be key to creating unforgettable moments for customers, whether you're putting a smile on customers' faces or recommending meals off the menu. You'll be joining a fun and inclusive team, where you can grow and strengthen your skills and experience.   Join us at Farmhouse Inns, where we're big on quality as we are with our portions, which is why our carv...","Team Working,Organisation Skills",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP01111,VACF166D601,Bar and Waiting Apprentice,apprenticeship,Intermediate Level 2 (GCSE),customer_success,"Farmhouse Inns provide a vast range of tasty pub favourites as well as a traditional daily carvery with a fantastic choice of fresh vegetables and succulent roasted joints of meat. Their generous, eye catching cakes are regarded as their unique selling point, displayed in cabinets in the centre of their business to create a real talking point for customers.   Farmhouse Inns aim to provide the b...","Team Working,Organisation Skills",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP01112,VAC546BE6AC,Chef Apprenticeship,apprenticeship,Intermediate Level 2 (GCSE),customer_success,"As an apprentice Chef at Harvester, we will help you master our menu, with your food being the reason guests keep coming through our doors! You'll thrive off the hustle and bustle of a fast-paced kitchen, with the support of a close-knit team, because it's the people that make it all worthwhile.   Responsibilities:   - Be a champion of brand standards   - Keep your kitchen clean   - Prepare eve...","Team Working,Organisation Skills",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP01113,VAC546BE6AC,Chef Apprenticeship,apprenticeship,Intermediate Level 2 (GCSE),customer_success,"As an apprentice Chef at Harvester, we will help you master our menu, with your food being the reason guests keep coming through our doors! You'll thrive off the hustle and bustle of a fast-paced kitchen, with the support of a close-knit team, because it's the people that make it all worthwhile.   Responsibilities:   - Be a champion of brand standards   - Keep your kitchen clean   - Prepare eve...","Team Working,Organisation Skills",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP01114,VAC546BE6AC,Bar and Waiting Apprenticeship,apprenticeship,Intermediate Level 2 (GCSE),customer_success,"As Bar and Waiting Staff at Harvester you are the personality behind the beer pumps, the expert on the drink's menu and know our food menu inside out, frequently recommending your favourites. As the friendly face our guests remember, you'll inject your personality every moment you're with our guests so that they love to come back time and time again.   Responsibilities:     Greet, serve and loo...","Team Working,Organisation Skills",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
